,Name,Price,Location,Category
84,Un finishes house for sale in kinyinya,"200,000,000 FRW",N/A,house
85,Kibagabaga nice new house for sale in good neighborhood,"350,000,000 FRW",N/A,house
86,Nice house for sale in rebero with nice view,"300,000,000 FRW",N/A,house
87,,"3,000,000 FRW",N/A,land
88,Nice house for  in sale in kibagabaga,"170,000,000 FRW",N/A,house
89,Unfurnished brand new house for sale in kimironko,"165,000,000 FRW",N/A,house
90,Un furnished house for sale in kimironko,"300,000,000 FRW",N/A,house
91,Nice house for sale in kibagabaga,"300,000,000 FRW",N/A,house
92,Hot Deal un furnished house for sale in gacuriro vision 20,"250,000 USD",N/A,house
93,,"280,000 USD",N/A,house
94,Nice new house for sale in good neighborhood,"250,000,000 FRW",N/A,house
95,Nyarutarama two houses for sale on good price,"500,000,000 FRW",N/A,house
96,Plot for sale in kacyiru,"180,000,000 FRW",N/A,land
97,Nice house for sale in kagugu on tarmac road,"350,000,000 FRW",N/A,house
98,House for sale in gacuriro vision 2020,"250,000 USD",N/A,house
99,Rebero nice plot for sale in good neighborhood.,"70,000,000 FRW",N/A,land
100,KIGALI NICE PLOT FOR SALE IN GOOD NEIGHBORHOOD,"250,000,000 FRW",N/A,land
101,Cheap Apartment for sale in gacuriro vision city,"180,000,000 FRW",N/A,apartment
102,Semi detached house for sale in vision city,"370,000 USD",N/A,house
103,House house for sale in nyarutarama DNd estate,"110,000 USD",N/A,house
104,Nice new house for sale on reasonable price,"68,000,000 FRW",N/A,house
105,Kigali nice house for sale on good price,"270,000,000 FRW",N/A,house
106,Nice brand new house for sale in kibagabaga,"350,000,000 FRW",N/A,house
107,Nice house for sale in kibagabaga on tarmac road,"280,000,000 FRW",N/A,house
108,Residential plot for sale in gasanze,"30,000,000 FRW",N/A,land
109,Petrol station for sale in nyamata,"1,000,000,000 FRW",N/A,building
110,Industrial plot for sale in masoro phase 1,"1,500,000 USD",N/A,wirehouse
111,Residential plot for sale in bumbogo,"38,000,000 FRW",N/A,land
